id_ordem,id_invoice,codigo_produto,nome_produto,unidade,quantidade,valor_unitário,valor_imposto,valor_total,valor_desconto
95,30435,35641,Champignon C. Belo,1x100G,2 UND9 ,"5,69","4,11","11,38",
96,30435,85774,Molho Mama D'oro Pouco,1x300G,1 UND9 ,"2,09","0,66","2,09",
97,30435,75162,Molho Tomate Etti,1x300G,4 UND9 ,"1,49","1,74","5,96","0,4"
98,30435,72488,Gelatina Qualimax,1x20G,2 UND9 ,"1,19","0,74","2,38",
99,30435,21176,Açúcar Refinado União,1x1Kg,5 PTC9 ,"4,3","6,76","21,5",
100,30435,42797,Molho Tomate Pomarola,1x300G,2 UND9 ,"3,45","2,18","6,9",
101,30435,32749,Feijão da Casa,1x1Kg,4 PCT9 ,"6,59","8,29","26,36",
102,30435,23290,Creme Leite Piracanjuba,1x200g,4 UND9 ,"2,49","2,28","9,96",
103,30435,72755,Milho Verde Fugini,1x170G,3 UND9 ,"3,19","3,01","9,57",
104,30435,49632,Palito Bambu Fiat Lux,1x100UN,1 UND9 ,"1,25","0,78","2,5",
105,30435,10530,Aroma Dr. Oetker Baunilha,1x30ml,1 UND9 ,"7,99","2,6","7,99",
106,30435,51252,Gelatina Royal,1x25G,2 UND9,"1,69","1,06","3,38",
107,30435,74145,Farinha de Trigo Três Corações,1x1kg,1 PCT9 ,"2,59","0,69","2,59",
108,30435,8528,Sal Lebre Refinado,1x1Kg,1 PTC9 ,"2,05","0,43","2,05",
109,30435,51247,Gelatina Royal,1x25G,1 UND9,"1,69","1,06","3,38",
