intID_Ordem,strCod,strProduto,Unidade,Quantidade,Imposto Federal ≅%28,Total,Desconto
118,23290,CR. Leite Piracanjuba,1x200g,"1 UND9 x 2,49 ","0,57","2,49",
119,49632,Palito Bambu Fiat  Lux,1x100UN,"1 UND9 x 1,25 ","0,39","1,25",
120,49632,Palito Bambu Fiat  Lux,1x100UN,"1 UND9 x 1,25 ","0,39","1,25",
121,10530,Aroma Dr. Oetker Baunilha,1x30ml,"1 UND9 x 7,99 ","2,6","7,99",
122,51252,Gelatina Royal,1x25G,"2 UND9 X 1,69 ","1,06","3,38",
123,51247,Gelatina Royal,1x25G,"1 UND9 X 1,69 ","0,53","1,69",
124,74145,Farinha de Trigo TrÊs Corações,1x1kg,"1 PCT9 x 2,59 ","0,53","2,59",
125,8528,Sal Lebre Refinado,1x1Kg,"1 PTC9 x 2,05 ","0,49","2,05",
126,51247,Gelatina Royal,1x25G,"1 UND9 X 1,69 ","0,53","1,69",
127,72488,Gelatina Qualimax,1x20G,"1 UND9 x 1,19 ","0,37","1,19",
128,32749,Feijão da Casa,1x1Kg,"1 PCT9 x 6,59 ","2,07","6,59",
,,,,,"456,3","1.636,09",
,,,,,,,
,,,,,45630,"27,8896637715529",
,,,,,,,
,,,,,"456,299938294",,
